Cluster,Direction,Target,Source,Value
0,RNA -> Protein,CD102.ICAM2,Aagab,0.4447346866421543
0,RNA -> Protein,CD102.ICAM2,Adgrl2,0.5527138637580316
0,RNA -> Protein,CD102.ICAM2,Ccdc34,0.46715022538984285
0,RNA -> Protein,CD102.ICAM2,Dclk1,0.250537368732731
0,RNA -> Protein,CD102.ICAM2,Echs1,0.5782882465669462
0,RNA -> Protein,CD102.ICAM2,Edf1,0.792305874798579
0,RNA -> Protein,CD102.ICAM2,Fzd2,0.9856258120076191
0,RNA -> Protein,CD102.ICAM2,Hdac4,0.4326021839609343
0,RNA -> Protein,CD102.ICAM2,Irx2,0.636925627746215
0,RNA -> Protein,CD102.ICAM2,Kdm6b,0.2836562951840138
0,RNA -> Protein,CD102.ICAM2,Larp7,0.4067791757907139
0,RNA -> Protein,CD102.ICAM2,Lhx1,0.11074004204535567
0,RNA -> Protein,CD102.ICAM2,Ncam1,0.6891249701867918
0,RNA -> Protein,CD102.ICAM2,Nsg2,0.07999783583700139
0,RNA -> Protein,CD102.ICAM2,Polr1b,0.629494660614783
0,RNA -> Protein,CD102.ICAM2,Rpl17-ps8,0.53108888950845
0,RNA -> Protein,CD102.ICAM2,Sdf2l1,0.3226445946187201
0,RNA -> Protein,CD102.ICAM2,Six2,0.12064923884969228
0,RNA -> Protein,CD102.ICAM2,Tcf7l2,0.18745571132976566
0,RNA -> Protein,CD102.ICAM2,Tomm6,0.8684965908726778
0,RNA -> Protein,CD117.KIT,Aagab,0.40659224069083605
0,RNA -> Protein,CD117.KIT,Adgrl2,0.589871517014937
0,RNA -> Protein,CD117.KIT,Ccdc34,0.4996503347383465
0,RNA -> Protein,CD117.KIT,Dclk1,0.30261318279195637
0,RNA -> Protein,CD117.KIT,Echs1,0.4649598610847303
0,RNA -> Protein,CD117.KIT,Edf1,0.6785418073419442
0,RNA -> Protein,CD117.KIT,Fzd2,1.0
0,RNA -> Protein,CD117.KIT,Hdac4,0.2938092196867388
0,RNA -> Protein,CD117.KIT,Irx2,0.7722148302674903
0,RNA -> Protein,CD117.KIT,Kdm6b,0.3339726732132137
0,RNA -> Protein,CD117.KIT,Larp7,0.4305543487933288
0,RNA -> Protein,CD117.KIT,Lhx1,0.10091671481225231
0,RNA -> Protein,CD117.KIT,Ncam1,0.6390469010823481
0,RNA -> Protein,CD117.KIT,Nsg2,0.08056517533401467
0,RNA -> Protein,CD117.KIT,Polr1b,0.5751686108348446
0,RNA -> Protein,CD117.KIT,Rpl17-ps8,0.5134804510076959
0,RNA -> Protein,CD117.KIT,Sdf2l1,0.2796027403034885
0,RNA -> Protein,CD117.KIT,Six2,0.10466150037539809
0,RNA -> Protein,CD117.KIT,Tcf7l2,0.25900543772916135
0,RNA -> Protein,CD117.KIT,Tomm6,0.8100225587858911
0,RNA -> Protein,CD201.EPCR,Aagab,0.5992792072061875
0,RNA -> Protein,CD201.EPCR,Adgrl2,0.7146079722402776
0,RNA -> Protein,CD201.EPCR,Ccdc34,0.44231121262761497
0,RNA -> Protein,CD201.EPCR,Dclk1,0.21631925039293243
0,RNA -> Protein,CD201.EPCR,Echs1,0.6732582674151777
0,RNA -> Protein,CD201.EPCR,Edf1,0.659327940085637
0,RNA -> Protein,CD201.EPCR,Fzd2,1.0
0,RNA -> Protein,CD201.EPCR,Hdac4,0.417184553133824
0,RNA -> Protein,CD201.EPCR,Irx2,0.6852053141080474
0,RNA -> Protein,CD201.EPCR,Kdm6b,0.27052073797943144
0,RNA -> Protein,CD201.EPCR,Larp7,0.39722714295159917
0,RNA -> Protein,CD201.EPCR,Lhx1,0.26399253000225337
0,RNA -> Protein,CD201.EPCR,Ncam1,0.6082405660832108
0,RNA -> Protein,CD201.EPCR,Nsg2,0.0925998853542085
0,RNA -> Protein,CD201.EPCR,Polr1b,0.5088382835919076
0,RNA -> Protein,CD201.EPCR,Rpl17-ps8,0.4624993275307699
0,RNA -> Protein,CD201.EPCR,Sdf2l1,0.4528995186595899
0,RNA -> Protein,CD201.EPCR,Six2,0.11737137568036586
0,RNA -> Protein,CD201.EPCR,Tcf7l2,0.22859122020011707
0,RNA -> Protein,CD201.EPCR,Tomm6,0.8427480272358644
0,RNA -> Protein,CD304.NPR1,Aagab,0.48371892931121874
0,RNA -> Protein,CD304.NPR1,Adgrl2,0.6963722781018573
0,RNA -> Protein,CD304.NPR1,Ccdc34,0.5606350704368604
0,RNA -> Protein,CD304.NPR1,Dclk1,0.2947759843318211
0,RNA -> Protein,CD304.NPR1,Echs1,0.585473761957354
0,RNA -> Protein,CD304.NPR1,Edf1,0.7701329176880641
0,RNA -> Protein,CD304.NPR1,Fzd2,1.0
0,RNA -> Protein,CD304.NPR1,Hdac4,0.38038620439120047
0,RNA -> Protein,CD304.NPR1,Irx2,0.7193668928284099
0,RNA -> Protein,CD304.NPR1,Kdm6b,0.3730898610806633
0,RNA -> Protein,CD304.NPR1,Larp7,0.5335791722076445
0,RNA -> Protein,CD304.NPR1,Lhx1,0.11176806230856601
0,RNA -> Protein,CD304.NPR1,Ncam1,0.6542342243021152
0,RNA -> Protein,CD304.NPR1,Nsg2,0.08892739765060995
0,RNA -> Protein,CD304.NPR1,Polr1b,0.6180012543791661
0,RNA -> Protein,CD304.NPR1,Rpl17-ps8,0.5100175936972577
0,RNA -> Protein,CD304.NPR1,Sdf2l1,0.3231400230993989
0,RNA -> Protein,CD304.NPR1,Six2,0.12355241480438539
0,RNA -> Protein,CD304.NPR1,Tcf7l2,0.31732792371619883
0,RNA -> Protein,CD304.NPR1,Tomm6,0.8275514865827414
0,RNA -> Protein,CD309.KDR,Aagab,0.5156405862003347
0,RNA -> Protein,CD309.KDR,Adgrl2,0.7164550965192502
0,RNA -> Protein,CD309.KDR,Ccdc34,0.6229268762548269
0,RNA -> Protein,CD309.KDR,Dclk1,0.30092767530892855
0,RNA -> Protein,CD309.KDR,Echs1,0.5523394641023853
0,RNA -> Protein,CD309.KDR,Edf1,0.801988291782809
0,RNA -> Protein,CD309.KDR,Fzd2,1.0000000000000002
0,RNA -> Protein,CD309.KDR,Hdac4,0.34903308110814946
0,RNA -> Protein,CD309.KDR,Irx2,0.741441269822564
0,RNA -> Protein,CD309.KDR,Kdm6b,0.4070151951643122
0,RNA -> Protein,CD309.KDR,Larp7,0.620901953888425
0,RNA -> Protein,CD309.KDR,Lhx1,0.10580783721359044
0,RNA -> Protein,CD309.KDR,Ncam1,0.6615597282153917
0,RNA -> Protein,CD309.KDR,Nsg2,0.08674278144914047
0,RNA -> Protein,CD309.KDR,Polr1b,0.7145059361664492
0,RNA -> Protein,CD309.KDR,Rpl17-ps8,0.46355751931091993
0,RNA -> Protein,CD309.KDR,Sdf2l1,0.2511630652318244
0,RNA -> Protein,CD309.KDR,Six2,0.13312914155065705
0,RNA -> Protein,CD309.KDR,Tcf7l2,0.3233823835142528
0,RNA -> Protein,CD309.KDR,Tomm6,0.8360265452385809
0,RNA -> Protein,CD326.Ep.CAM,Aagab,0.5262918629675672
0,RNA -> Protein,CD326.Ep.CAM,Adgrl2,0.605481149361662
0,RNA -> Protein,CD326.Ep.CAM,Ccdc34,0.49438025930274737
0,RNA -> Protein,CD326.Ep.CAM,Dclk1,0.3218597407964634
0,RNA -> Protein,CD326.Ep.CAM,Echs1,0.5455121555217167
0,RNA -> Protein,CD326.Ep.CAM,Edf1,0.6507726092610377
0,RNA -> Protein,CD326.Ep.CAM,Fzd2,1.0
0,RNA -> Protein,CD326.Ep.CAM,Hdac4,0.3212197675820841
0,RNA -> Protein,CD326.Ep.CAM,Irx2,0.6609418070484935
0,RNA -> Protein,CD326.Ep.CAM,Kdm6b,0.37643032291150563
0,RNA -> Protein,CD326.Ep.CAM,Larp7,0.4246692600188459
0,RNA -> Protein,CD326.Ep.CAM,Lhx1,0.11796098114771454
0,RNA -> Protein,CD326.Ep.CAM,Ncam1,0.5853065655712967
0,RNA -> Protein,CD326.Ep.CAM,Nsg2,0.12139631702382463
0,RNA -> Protein,CD326.Ep.CAM,Polr1b,0.6306605601689014
0,RNA -> Protein,CD326.Ep.CAM,Rpl17-ps8,0.46962962224983545
0,RNA -> Protein,CD326.Ep.CAM,Sdf2l1,0.2949272637013666
0,RNA -> Protein,CD326.Ep.CAM,Six2,0.17215964319633237
0,RNA -> Protein,CD326.Ep.CAM,Tcf7l2,0.22287708346925972
0,RNA -> Protein,CD326.Ep.CAM,Tomm6,0.8058907954553184
0,RNA -> Protein,CD41.ITGA2B,Aagab,0.5940949263744796
0,RNA -> Protein,CD41.ITGA2B,Adgrl2,0.7300501356332801
0,RNA -> Protein,CD41.ITGA2B,Ccdc34,0.6185501106864227
0,RNA -> Protein,CD41.ITGA2B,Dclk1,0.2507088901714999
0,RNA -> Protein,CD41.ITGA2B,Echs1,0.4900188724830505
0,RNA -> Protein,CD41.ITGA2B,Edf1,0.7790554434551032
0,RNA -> Protein,CD41.ITGA2B,Fzd2,0.943042981429134
0,RNA -> Protein,CD41.ITGA2B,Hdac4,0.26597828484518204
0,RNA -> Protein,CD41.ITGA2B,Irx2,0.6649108721832389
0,RNA -> Protein,CD41.ITGA2B,Kdm6b,0.45077867430255825
0,RNA -> Protein,CD41.ITGA2B,Larp7,0.6485865907975921
0,RNA -> Protein,CD41.ITGA2B,Lhx1,0.10089408312094955
0,RNA -> Protein,CD41.ITGA2B,Ncam1,0.5911293002147697
0,RNA -> Protein,CD41.ITGA2B,Nsg2,0.09036647641038298
0,RNA -> Protein,CD41.ITGA2B,Polr1b,0.7339417429892218
0,RNA -> Protein,CD41.ITGA2B,Rpl17-ps8,0.3672568223052642
0,RNA -> Protein,CD41.ITGA2B,Sdf2l1,0.17859786584510443
0,RNA -> Protein,CD41.ITGA2B,Six2,0.14038281039106829
0,RNA -> Protein,CD41.ITGA2B,Tcf7l2,0.282544902988218
0,RNA -> Protein,CD41.ITGA2B,Tomm6,0.7410689099035092
0,RNA -> Protein,CD45.PTPRC,Aagab,0.4519519979608935
0,RNA -> Protein,CD45.PTPRC,Adgrl2,0.8274363058498162
0,RNA -> Protein,CD45.PTPRC,Ccdc34,0.6473100315317943
0,RNA -> Protein,CD45.PTPRC,Dclk1,0.20694939435604381
0,RNA -> Protein,CD45.PTPRC,Echs1,0.5650537843031431
0,RNA -> Protein,CD45.PTPRC,Edf1,0.7949570527906265
0,RNA -> Protein,CD45.PTPRC,Fzd2,0.9452767697970816
0,RNA -> Protein,CD45.PTPRC,Hdac4,0.3721207989484163
0,RNA -> Protein,CD45.PTPRC,Irx2,0.8052673967927226
0,RNA -> Protein,CD45.PTPRC,Kdm6b,0.3218818977845284
0,RNA -> Protein,CD45.PTPRC,Larp7,0.7453385734665441
0,RNA -> Protein,CD45.PTPRC,Lhx1,0.10689805387332055
0,RNA -> Protein,CD45.PTPRC,Ncam1,0.6404636857667896
0,RNA -> Protein,CD45.PTPRC,Nsg2,0.08287329596827359
0,RNA -> Protein,CD45.PTPRC,Polr1b,0.6743828604010671
0,RNA -> Protein,CD45.PTPRC,Rpl17-ps8,0.45888000909552434
0,RNA -> Protein,CD45.PTPRC,Sdf2l1,0.21182611977742755
0,RNA -> Protein,CD45.PTPRC,Six2,0.08344650123326139
0,RNA -> Protein,CD45.PTPRC,Tcf7l2,0.32659941776185436
0,RNA -> Protein,CD45.PTPRC,Tomm6,0.8428366843594972
0,RNA -> Protein,CD63,Aagab,0.42572013043754464
0,RNA -> Protein,CD63,Adgrl2,0.6716401731026532
0,RNA -> Protein,CD63,Ccdc34,0.5705086547294397
0,RNA -> Protein,CD63,Dclk1,0.2131279108982598
0,RNA -> Protein,CD63,Echs1,0.4366063554878673
0,RNA -> Protein,CD63,Edf1,0.7991077390739758
0,RNA -> Protein,CD63,Fzd2,0.922705406004956
0,RNA -> Protein,CD63,Hdac4,0.34305082902692685
0,RNA -> Protein,CD63,Irx2,0.7485939704018602
0,RNA -> Protein,CD63,Kdm6b,0.2857522786574843
0,RNA -> Protein,CD63,Larp7,0.6131172999668025
0,RNA -> Protein,CD63,Lhx1,0.10002007271441468
0,RNA -> Protein,CD63,Ncam1,0.5868466704333036
0,RNA -> Protein,CD63,Nsg2,0.07881422211893153
0,RNA -> Protein,CD63,Polr1b,0.6874181743891301
0,RNA -> Protein,CD63,Rpl17-ps8,0.42134622999720794
0,RNA -> Protein,CD63,Sdf2l1,0.21131527560944963
0,RNA -> Protein,CD63,Six2,0.0865739645860671
0,RNA -> Protein,CD63,Tcf7l2,0.2719651746227524
0,RNA -> Protein,CD63,Tomm6,0.8198195404061379
0,RNA -> Protein,ESAM,Aagab,0.5465064206308853
0,RNA -> Protein,ESAM,Adgrl2,0.7269165757982267
